train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_swa;valid_accuracy_robust_swa;valid_accuracy_adversarial_swa
90,2860;0,9721;92,4000;0,7019;92,4000;0;0,0000
82,8420;1,0791;92,7700;0,6956;92,7700;0;0,0000
88,4380;1,0040;93,8000;0,6784;93,8000;0;0,0000
90,0520;0,9873;92,8800;0,6853;92,8800;0;0,0000
86,2260;1,0293;92,9600;0,7010;92,9600;0;0,0000
87,7260;1,0385;92,7600;0,6992;92,7600;0;0,0000
88,8420;0,9610;94,3100;0,6589;94,3100;0;0,0000
89,1480;0,9678;93,7400;0,6690;93,7400;0;0,0000
86,1440;1,0528;93,6000;0,6832;93,6000;0;0,0000
85,3340;1,0674;92,6700;0,7101;92,6700;0;0,0000
90,1200;0,9321;93,5700;0,6657;93,5700;0;0,0000
89,4920;0,9793;93,5300;0,6651;93,5300;0;0,0000
87,3280;1,0135;92,2800;0,7068;92,2800;0;0,0000
90,7480;0,9776;93,5500;0,6818;93,5500;0;0,0000
88,1520;1,0363;93,5700;0,6744;93,5700;0;0,0000
90,7620;0,9726;92,4500;0,6988;92,4500;0;0,0000
88,3520;0,9746;93,3100;0,6827;93,3100;0;0,0000
90,2940;0,9516;92,0500;0,7206;92,0500;0;0,0000
89,6580;1,0190;94,2300;0,6657;94,2300;0;0,0000
89,4740;0,9895;93,8300;0,6711;93,8300;0;0,0000
88,6940;1,0209;94,3200;0,6622;94,3200;0;0,0000
89,6220;0,9723;94,2400;0,6587;94,2400;0;0,0000
89,4080;0,9624;93,8600;0,6675;93,8600;0;0,0000
85,1220;1,0509;94,0400;0,6757;94,0400;0;0,0000
89,3580;0,9727;94,3400;0,6538;94,3400;0;0,0000
89,8000;0,9917;93,9100;0,6736;93,9100;0;0,0000
88,2800;0,9913;94,2200;0,6661;94,2200;0;0,0000
87,1900;1,0262;94,5000;0,6512;94,5000;0;0,0000
90,8380;0,9751;94,6800;0,6488;94,6800;0;0,0000
91,3700;0,9235;94,5800;0,6653;94,5800;0;0,0000
87,1620;1,0380;94,2000;0,6653;94,2000;0;0,0000
90,7820;0,9319;94,4200;0,6530;94,4200;0;0,0000
86,6000;1,0002;94,4900;0,6636;94,4900;0;0,0000
87,7740;1,0000;94,3900;0,6607;94,3900;0;0,0000
88,9440;0,9984;94,0000;0,6799;94,0000;0;0,0000
90,2800;0,9692;94,2000;0,6779;94,2000;0;0,0000
90,0300;0,9676;94,4400;0,6785;94,4400;0;0,0000
92,0240;0,8968;94,5200;0,6476;94,5200;0;0,0000
91,7180;0,9680;94,8900;0,6398;94,8900;0;0,0000
90,9820;0,9231;94,6200;0,6479;94,6200;0;0,0000
90,8080;0,9114;94,6800;0,6466;94,6800;0;0,0000
90,4440;0,9462;94,5900;0,6712;94,5900;0;0,0000
88,3060;0,9797;95,0600;0,6388;95,0600;0;0,0000
88,3900;1,0244;95,1900;0,6429;95,1900;0;0,0000
90,1120;0,9552;94,8900;0,6528;94,8900;0;0,0000
89,5220;0,9418;95,1700;0,6412;95,1700;0;0,0000
88,3740;0,9971;94,7900;0,6497;95,2000;0;0,0000
92,4860;0,9240;95,3100;0,6641;95,5700;0;0,0000
89,1040;0,9730;95,1000;0,6449;95,0700;0;0,0000
89,0020;0,9978;95,0500;0,6716;95,4400;0;0,0000
