train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial
81,5840;2,0979;76,8100;1,7359;59,4069;25,2100
81,4367;2,0942;77,0900;1,7231;57,3241;26,9500
81,5560;2,0922;77,5500;1,7036;57,8207;27,0100
81,7173;2,0869;77,8600;1,6869;60,1310;28,0700
82,1147;2,0760;77,2700;1,7099;57,9310;27,7600
82,1860;2,0743;77,8200;1,6801;60,0690;29,6800
82,0873;2,0723;78,0900;1,7051;58,7793;28,0800
82,3460;2,0598;78,2200;1,6715;61,8276;26,7600
82,6673;2,0573;77,9700;1,6642;58,2345;26,3800
82,5533;2,0618;78,2400;1,6802;60,6897;27,7400
82,8633;2,0466;77,6900;1,6809;59,7241;28,1700
82,9840;2,0403;77,9200;1,6843;62,4276;27,6400
83,0513;2,0395;78,5900;1,6807;59,6897;27,6400
83,2833;2,0262;78,3600;1,6383;59,1103;27,6600
83,2460;2,0330;78,2700;1,6538;59,9586;28,3700
83,5273;2,0197;78,2500;1,6407;62,4276;29,9100
83,5427;2,0180;79,2700;1,6005;60,1724;29,3200
83,7673;2,0128;78,9600;1,6551;62,9862;28,4900
83,8727;2,0044;79,2100;1,6722;61,1931;28,5400
84,1267;1,9954;78,9700;1,6052;62,1172;29,1900
84,2767;1,9889;79,2900;1,6124;62,1586;28,6200
84,2147;1,9906;79,1700;1,6294;62,5241;30,2500
84,4247;1,9846;79,4100;1,6274;61,9448;29,9300
84,5240;1,9770;79,6700;1,5959;61,8828;29,1500
84,7553;1,9705;79,9100;1,5930;62,9034;29,1100
84,9073;1,9626;79,9400;1,5994;61,9448;29,4100
84,8380;1,9642;79,8000;1,5784;62,6621;30,3300
85,0953;1,9549;79,6100;1,5912;61,9517;29,2200
85,0947;1,9568;80,1200;1,5826;62,3862;31,8200
85,2073;1,9467;80,3400;1,5895;62,7172;29,0700
85,2453;1,9455;79,9400;1,5794;63,0000;30,0600
85,5267;1,9367;80,1500;1,5765;62,3241;30,9600
85,6520;1,9300;80,4600;1,5823;62,3103;29,4800
85,7720;1,9262;80,4500;1,5826;61,6000;31,4700
85,9107;1,9240;80,7100;1,5831;62,6897;30,4100
85,9833;1,9179;80,2600;1,5738;62,2207;30,4300
86,0673;1,9137;80,4200;1,5701;63,3655;30,8700
86,0713;1,9123;80,3600;1,5844;63,2897;30,1300
86,1260;1,9063;80,6300;1,5543;62,8207;30,3600
86,2067;1,9029;80,5400;1,5691;63,5793;30,6300
86,1273;1,9077;80,9200;1,5666;63,4483;30,3200
86,3867;1,8959;80,8100;1,5558;63,6138;30,8100
86,5693;1,8937;80,6800;1,5355;62,2483;30,1500
86,5140;1,8925;80,9700;1,5507;63,0069;30,8200
86,5673;1,8902;81,0100;1,5624;63,5586;30,9100
86,7573;1,8813;80,9000;1,5446;63,3379;31,1500
86,5647;1,8892;80,8900;1,5461;63,5310;31,6800
86,6053;1,8888;80,8900;1,5457;63,1724;31,0600
86,7013;1,8856;81,1400;1,5630;63,7172;30,9800
86,8987;1,8736;80,7800;1,5402;63,6138;31,4600
86,8527;1,8782;80,7100;1,5421;63,1517;31,5500
86,9987;1,8737;81,0700;1,5251;63,5724;30,5100
86,7807;1,8862;80,9600;1,5511;63,3724;30,8400
86,8253;1,8746;81,0900;1,5364;63,5172;31,1200
86,8147;1,8794;80,9800;1,5461;63,3241;31,2700
75,4560;2,3194;71,5300;1,9518;55,0138;20,3500
74,8033;2,3424;71,7500;1,9633;55,2897;20,7100
74,9573;2,3371;71,7100;1,9655;52,3586;22,9400
75,3053;2,3206;71,9600;1,9145;54,3172;22,4200
75,6400;2,3199;72,5900;1,9454;54,5517;20,7800
75,8700;2,3098;73,1600;1,9542;55,9793;24,3700
76,1060;2,3008;73,0000;1,9366;52,6828;22,6100
75,8987;2,3042;71,6300;1,9057;55,2207;23,6000
76,1713;2,2887;72,3100;1,8982;57,1241;22,4700
76,3473;2,2896;73,2200;1,8965;54,4138;24,6500
76,5627;2,2754;74,0500;1,8934;55,0483;21,6900
76,6160;2,2773;73,5400;1,8495;54,0276;23,1600
76,7960;2,2745;72,8100;1,9174;55,9586;20,7400
76,9920;2,2683;72,7900;1,9057;54,8414;22,6100
76,9727;2,2669;74,2900;1,8922;57,4414;21,4300
77,0467;2,2635;73,9400;1,8689;58,0897;24,1500
76,9520;2,2646;73,9000;1,8519;57,4552;24,5000
77,3500;2,2581;73,6900;1,8888;56,2759;21,6400
77,3413;2,2513;73,9900;1,9089;57,2000;23,7100
77,2880;2,2541;74,1600;1,9074;58,7034;23,7300
